Index;Exercise;PrimaryMuscle;SecondaryMuscle;URL;Priority
18;Barra Fixa Peg Pronada;Grande Dorsal 1;Grande Dorsal;https://youtu.be/JX_YM7Bp26U;1
19;Barra Fixa Peg Supinada;Grande Dorsal 1;Grande Dorsal;https://youtu.be/WJOu_aru3XM;1
20;Barra Fixa Com Triangulo;Grande Dorsal 1;Grande Dorsal;https://youtu.be/uCnmHgHgfOs;1
21;Levantamento Terra;Grande Dorsal 1;Grande Dorsal;https://youtu.be/T3x53s0jEns;1
22;Puxada Vertical Peg Pronada;Grande Dorsal 1;Grande Dorsal;https://youtu.be/H09EvebBsB4;1
23;Puxada Vertical Peg Supinada;Grande Dorsal 1;Grande Dorsal;https://youtu.be/v1rPzvJvwIE;1
24;Puxada Vertical Com Triangulo;Grande Dorsal 1;Grande Dorsal;https://youtu.be/ej9Z_jMQpLY;1
25;Remada Curvada Peg Pronada;Grande Dorsal 2;Tipo 1;https://youtu.be/XruycmUNi1Y;1
26;Remada Curvada Peg Supinada;Grande Dorsal 2;Tipo 2;https://youtu.be/y-XZnuKx3Q0;1
27;Remada Curvada Cavalinho;Grande Dorsal 2;Tipo 3;https://youtu.be/Hdqf7mlEHrA;1
28;Remada Curvada Halteres Peg Pronada;Grande Dorsal 2;Tipo 1;https://youtu.be/AT8pPML17VU;1
29;Remada Curvada Halteres Peg Supinada;Grande Dorsal 2;Tipo 2;https://youtu.be/g0VduhIsJIE;1
30;Remada Curvada Halteres Peg Neutra;Grande Dorsal 2;Tipo 3;https://youtu.be/CyCkDYs49hM;1
31;Remada Maquina Peg Pronada;Grande Dorsal 2;Tipo 1;https://youtu.be/_g6GeyWVivI;1
32;Remada Maquina Peg Supinada;Grande Dorsal 2;Tipo 2;https://youtu.be/1CG-dreRL6Q;1
33;Remada Maquina Peg Neutra;Grande Dorsal 2;Tipo 3;https://youtu.be/C0-C0X7G8eQ;1
34;Remada Cross Peg Pronada;Grande Dorsal 2;Tipo 1;https://youtu.be/IA0SRm2mY9M;0
35;Remada Cross Peg Supinada;Grande Dorsal 2;Tipo 2;https://youtu.be/Q5Rl_fnOCBs;0
36;Remada Cross Peg Neutra;Grande Dorsal 2;Tipo 3;https://youtu.be/wC1EsDy_esM;0
37;Remada Unilateral Peg Pronada;Grande Dorsal 2;Tipo 1;https://youtu.be/VlCc-rDbwhA;1
38;Remada Unilateral Peg Supinada;Grande Dorsal 2;Tipo 2;https://youtu.be/MAHNlcA4oXc;1
39;Remada Unilateral Peg Neutra;Grande Dorsal 2;Tipo 3;https://youtu.be/C-tlPEhjwTk;1
40;Pull-Down Barra;Grande Dorsal 1;Grande Dorsal;https://youtu.be/qw37xEEcoig;0
41;Pull-Down Cross Peg Pronada;Grande Dorsal 1;Grande Dorsal;https://youtu.be/EG1ua8lDQJA;0
42;Pull-Down Cross Peg Supinada;Grande Dorsal 1;Grande Dorsal;https://youtu.be/U80znmkD2z0;0
43;Pull-Down Cross Corda;Grande Dorsal 1;Grande Dorsal;https://youtu.be/zdLHXB9Sn88;0
44;Elevacao Lateral Halteres;Deltoide;Deltoide Lateral;https://youtu.be/89K5H0Vvhnw;1
45;Elevacao Lateral Sentado Halteres;Deltoide;Deltoide Lateral;https://youtu.be/esWhjFJMNtU;0
46;Elevacao Lateral Cross Posterior;Deltoide;Deltoide Lateral;https://youtu.be/I-ywK8Q-9TM;1
47;Elevacao Lateral Cross Anterior;Deltoide;Deltoide Lateral;https://youtu.be/8KOat8ZsidI;1
48;Elevacao Lateral Unilateral Banco Inclinado;Deltoide;Deltoide Lateral;https://youtu.be/8s9JRhE95mU;0
49;Elevacao Frontal Barra Peg Pronada;Deltoide;Deltoide Frontal;https://youtu.be/jXUIrrvlR_0;1
50;Elevacao Frontal Barra Peg Supinada;Deltoide;Deltoide Frontal;https://youtu.be/Ea_8qpcysYI;0
51;Elevacao Frontal Halteres Peg Pronada;Deltoide;Deltoide Frontal;https://youtu.be/0K9NJHXYSm4;1
52;Elevacao Frontal Halteres Peg Supinada;Deltoide;Deltoide Frontal;https://youtu.be/DuUh84gcaso;0
53;Elevacao Frontal Halteres Peg Neutra;Deltoide;Deltoide Frontal;https://youtu.be/kQTNDsaEIKc;1
54;Elevacao Frontal Cross Peg Pronada;Deltoide;Deltoide Frontal;https://youtu.be/mOTjgenwgUc;1
55;Elevacao Frontal Cross Peg Supinada;Deltoide;Deltoide Frontal;https://youtu.be/lL8hIRuFcnU;0
56;Elevacao Frontal Cross Corda;Deltoide;Deltoide Frontal;https://youtu.be/xCQLo6LcudM;0
57;Elevacao Frontal Anilha;Deltoide;Deltoide Frontal;https://youtu.be/5bdlcZZvpzE;0
58;Elevacao Frontal Cruzada;Deltoide;Deltoide Frontal;https://youtu.be/btAEYSe5kp0;0
59;Crucifixo Inverso Halteres;Deltoide;Deltoide Posterior;https://youtu.be/SLQZOByDo04;1
60;Crucifixo Inverso Cross;Deltoide;Deltoide Posterior;https://youtu.be/gWa5abtK4G4;1
61;Desenvolvimento Halteres;Deltoide Multiarticular;Deltoide Frontal;https://youtu.be/4pU-kV-OaVU;1
62;Desenvolvimento Anterior;Deltoide Multiarticular;Deltoide Frontal;https://youtu.be/V_15VvJ3mr4;0
63;Desenvolvimento Posterior;Deltoide Multiarticular;Deltoide Frontal;https://youtu.be/WIlm9oHEEq8;0
64;Desenvolvimento Militar;Deltoide Multiarticular;Deltoide Frontal;https://youtu.be/urj7vgvfojk;0
65;Desenvolvimento Smith;Deltoide Multiarticular;Deltoide Frontal;https://youtu.be/oi18jaIbFRM;1
66;Desenvolvimento Maquina;Deltoide Multiarticular;Deltoide Frontal;https://youtu.be/oBF4YIwh_w8;1
67;Manguito Rotador Externo Barra;Deltoide;Manguito;https://youtu.be/QdUn8TBdjvU;1
68;Manguito Rotador Externo Halteres;Deltoide;Manguito;https://youtu.be/2ecstA3a5f4;1
69;Encolhimento Barra Posterior;Trapezio;Superior;https://youtu.be/Y4w7ZZW84eM;1
70;Encolhimento Halteres;Trapezio;Superior;https://youtu.be/ZzJ3zelC0qI;1
71;Encolhimento Smith Anterior;Trapezio;Superior;https://youtu.be/5DQl_71T8iI;1
72;Encolhimento Smith Posterior;Trapezio;Superior;https://youtu.be/7Ui8zi1w5A4;1
73;Remada Alta Halteres;Trapezio;Medial;https://youtu.be/hFMCum41W9c;1
74;Remada Alta Barra;Trapezio;Medial;https://youtu.be/Z6jSLKXZ0Ag;1
75;Remada Alta Cross;Trapezio;Medial;https://youtu.be/dHjEyNaCmn0;1
76;Remada Alta Smith;Trapezio;Medial;https://youtu.be/lD_zvmzP1K0;1
77;Paralelas;Triceps;Tipo 1;https://youtu.be/8ZhWzT-V54Q;1
78;Mergulho;Triceps;Tipo 1;https://youtu.be/jAkRzFnEvSo;1
79;Supino Fechado;Triceps;Tipo 1;https://youtu.be/qJGw6CnVh2Q;0
80;Rosca Testa Barra Peg Pronada;Triceps;Tipo 2;https://youtu.be/orMEOzQjiAs;1
81;Rosca Testa Barra Peg Supinada;Triceps;Tipo 3;https://youtu.be/D_wnqWbIrYs;0
82;Rosca Testa Halteres Peg Supinada;Triceps;Tipo 3;https://youtu.be/OS8sz24YV1g;0
83;Rosca Testa Halteres Peg Neutra;Triceps;Tipo 4;https://youtu.be/KzKdkwIjZg8;1
84;Rosca Testa Halteres Peg Pronada;Triceps;Tipo 2;https://youtu.be/esAavWMIRZ8;1
85;Triceps Pulley Corda;Triceps;Tipo 4;https://youtu.be/_KrR8248eLo;1
